Algoritmo: Matula
Nro cromatico: 102 en iteracion 1382
CantidadColores  CantidadRepeticiones 
102              6
103              40
104              215
105              788
106              1733
107              2492
108              2425
109              1506
110              585
111              176
112              32
113              2
